N,delta,alpha
3,0.997197197197,0.991942
3,0.997297297297,0.992347
3,0.997397397397,0.992587
3,0.997497497497,0.992946
3,0.997597597598,0.993114
3,0.997697697698,0.993402
3,0.997797797798,0.993723
3,0.997897897898,0.993965
3,0.997997997998,0.994248
3,0.998098098098,0.994668
3,0.998198198198,0.994887
3,0.998298298298,0.995152
3,0.998398398398,0.995487
3,0.998498498498,0.995533
3,0.998598598599,0.995904
3,0.998698698699,0.996156
3,0.998798798799,0.996407
3,0.998898898899,0.996848
3,0.998998998999,0.997189
3,0.999099099099,0.997387
3,0.999199199199,0.997708
3,0.999299299299,0.997945
3,0.999399399399,0.99822
3,0.999499499499,0.998522
3,0.9995995996,0.998827
3,0.9996996997,0.999089
3,0.9997997998,0.99941
3,0.9998998999,0.999727
3,1.0,1.0
